City,Colors Reported,Shape Reported,State,Time,Location
Alpena,,SPHERE,AR,6/1/1983 23:00,"Alpena,AR"
Phoenix,,DISK,AZ,6/1/1983 23:00,"Phoenix,AZ"
Westwood,,OTHER,CA,6/1/1983 23:00,"Westwood,CA"
Jeffersonville,,OVAL,IN,6/2/1983 22:00,"Jeffersonville,IN"
North Bend,,OVAL,OR,6/6/1983 22:00,"North Bend,OR"
North Canton,,VARIOUS,OH,6/15/1983 0:00,"North Canton,OH"
Cloverdale,,EGG,CA,6/15/1983 0:15,"Cloverdale,CA"
Shokan,,LIGHT,NY,6/15/1983 2:00,"Shokan,NY"
Garden City,,DISK,MI,6/15/1983 11:30,"Garden City,MI"
Borger,,OTHER,TX,6/15/1983 17:30,"Borger,TX"
Sandpoint,,DISK,ID,6/15/1983 18:00,"Sandpoint,ID"
Amarillo,,TRIANGLE,TX,6/15/1983 19:00,"Amarillo,TX"
Phoenix,,SPHERE,AZ,6/15/1983 19:30,"Phoenix,AZ"
Reno,GREEN,LIGHT,NV,6/15/1983 20:00,"Reno,NV"
Jacksonville,,TRIANGLE,FL,6/15/1983 21:30,"Jacksonville,FL"
St. Paul Park,,TRIANGLE,MN,6/15/1983 22:00,"St. Paul Park,MN"
Red Wing,,TRIANGLE,MN,6/15/1983 22:30,"Red Wing,MN"
Truckee,,CIRCLE,CA,6/18/1983 23:00,"Truckee,CA"
Tulsa,,CIRCLE,OK,6/27/1983 7:30,"Tulsa,OK"
North Port,,,MI,6/30/1983 0:00,"North Port,MI"
Williamsburg,YELLOW,CIRCLE,VA,6/30/1983 1:00,"Williamsburg,VA"
Amesbury,,TRIANGLE,MA,6/30/1983 3:00,"Amesbury,MA"
San Diego,,OTHER,CA,6/30/1983 15:00,"San Diego,CA"
Stonewall,,OVAL,LA,6/30/1983 18:00,"Stonewall,LA"
Wedgefield,,DISK,SC,6/30/1983 21:00,"Wedgefield,SC"
Koneohe Bay,,,HI,6/30/1983 22:00,"Koneohe Bay,HI"
Swayzee,YELLOW GREEN BLUE,,IN,7/1/1983 1:30,"Swayzee,IN"
Ft. Huachuca,,LIGHT,AZ,7/1/1983 2:30,"Ft. Huachuca,AZ"
Strandburg,RED GREEN,FORMATION,SD,7/1/1983 4:00,"Strandburg,SD"
Sharps Creek,,DIAMOND,OR,7/1/1983 15:00,"Sharps Creek,OR"
Warwick,,DISK,RI,7/1/1983 18:00,"Warwick,RI"
Pittsburg,,FLASH,KS,7/1/1983 21:10,"Pittsburg,KS"
Lumberton,,DISK,TX,7/3/1983 0:00,"Lumberton,TX"
Sharpsville,RED,OVAL,PA,7/4/1983 21:00,"Sharpsville,PA"
New York City,,FIREBALL,NY,7/10/1983 20:00,"New York City,NY"
Mountain Home,,OVAL,ID,7/10/1983 21:00,"Mountain Home,ID"
Savanah,,RECTANGLE,GA,7/15/1983 0:00,"Savanah,GA"
Vanderbilt,,OTHER,MI,7/15/1983 0:00,"Vanderbilt,MI"
Hollywood,YELLOW,FIREBALL,FL,7/15/1983 5:30,"Hollywood,FL"
Grand Prairie,,,TX,7/15/1983 18:00,"Grand Prairie,TX"
Lake City,,TRIANGLE,FL,7/15/1983 18:00,"Lake City,FL"
Moreno Valley,,VARIOUS,CA,7/15/1983 18:30,"Moreno Valley,CA"
Fair Lawn,GREEN,SPHERE,NJ,7/15/1983 19:00,"Fair Lawn,NJ"
Edison,,SPHERE,NJ,7/15/1983 20:00,"Edison,NJ"
Poughkeepsie,,OTHER,NY,7/15/1983 21:15,"Poughkeepsie,NY"
Little Falls,,RECTANGLE,NJ,7/15/1983 22:00,"Little Falls,NJ"
Taylorville,,DISK,IL,7/15/1983 22:00,"Taylorville,IL"
Goldens Bridge,,CHEVRON,VA,7/20/1983 22:30,"Goldens Bridge,VA"
San Antonio,,CIGAR,TX,7/27/1983 21:00,"San Antonio,TX"
Santa Rosa,RED,,CA,8/1/1983 1:30,"Santa Rosa,CA"
Reedsville,,SPHERE,WV,8/1/1983 14:30,"Reedsville,WV"
Mt. Kisco,,TRIANGLE,NY,8/1/1983 21:00,"Mt. Kisco,NY"
Dallas,RED YELLOW GREEN,SPHERE,TX,8/1/1983 22:30,"Dallas,TX"
Cassopolis,,SPHERE,MI,8/8/1983 15:00,"Cassopolis,MI"
Pulaski,,TRIANGLE,VA,8/12/1983 23:40,"Pulaski,VA"
Hastings,,OTHER,MI,8/14/1983 2:00,"Hastings,MI"
Plattekill,,DISK,NY,8/15/1983 0:30,"Plattekill,NY"
Citrus Heights,,DISK,CA,8/15/1983 17:00,"Citrus Heights,CA"
Cookstown,,TRIANGLE,NJ,8/15/1983 20:00,"Cookstown,NJ"
Hartford,,FIREBALL,CT,8/15/1983 21:00,"Hartford,CT"
Katonah,,TRIANGLE,NY,8/15/1983 21:00,"Katonah,NY"
Quinton,,OTHER,VA,8/15/1983 21:00,"Quinton,VA"
Shellsburg,,TRIANGLE,IA,8/15/1983 21:00,"Shellsburg,IA"
Bedford Hills,,CHEVRON,NY,8/15/1983 21:05,"Bedford Hills,NY"
Columbus,,DISK,GA,8/15/1983 23:30,"Columbus,GA"
Peoria County,RED ORANGE,CIGAR,IL,8/20/1983 18:00,"Peoria County,IL"
New Haven,,SPHERE,CT,8/21/1983 22:50,"New Haven,CT"
Van Nuys,,TRIANGLE,CA,8/22/1983 22:00,"Van Nuys,CA"
North Las Vegas,,DIAMOND,NV,9/1/1983 19:30,"North Las Vegas,NV"
Allentown,,DISK,PA,9/1/1983 20:00,"Allentown,PA"
Boulder,,TRIANGLE,CO,9/1/1983 21:30,"Boulder,CO"
Maroa,,DISK,IL,9/4/1983 15:10,"Maroa,IL"
Mulberry,,LIGHT,IN,9/10/1983 19:00,"Mulberry,IN"
Plomosa Mountains,,FIREBALL,AZ,9/12/1983 21:00,"Plomosa Mountains,AZ"
Ocean Isle Beach,,DISK,SC,9/13/1983 10:49,"Ocean Isle Beach,SC"
Minden,,SPHERE,NV,9/15/1983 5:00,"Minden,NV"
Clovis,,TRIANGLE,NM,9/15/1983 21:00,"Clovis,NM"
Stratford,,TRIANGLE,CT,9/15/1983 21:00,"Stratford,CT"
Hamersville,RED,SPHERE,OH,9/30/1983 20:00,"Hamersville,OH"
Ayer,,,MA,10/1/1983 20:00,"Ayer,MA"
Elizabeth Township,,OVAL,PA,10/1/1983 20:30,"Elizabeth Township,PA"
Tarboro,,DISK,NC,10/1/1983 21:00,"Tarboro,NC"
California Valley,,DISK,CA,10/15/1983 0:00,"California Valley,CA"
Crete,,TRIANGLE,NE,10/15/1983 19:00,"Crete,NE"
Upper Saddle River,,,NJ,10/21/1983 3:00,"Upper Saddle River,NJ"
California Valley,,DISK,CA,10/25/1983 2:00,"California Valley,CA"
Orange,ORANGE,DIAMOND,MA,10/25/1983 20:55,"Orange,MA"
Rochester,,DIAMOND,NH,10/31/1983 19:00,"Rochester,NH"
Citrus Heights,ORANGE,DISK,CA,11/1/1983 20:00,"Citrus Heights,CA"
Gibsonville,,LIGHT,NC,11/1/1983 20:00,"Gibsonville,NC"
Kingston,,TRIANGLE,NY,11/1/1983 21:00,"Kingston,NY"
Virginia Beach,,LIGHT,VA,11/15/1983 17:00,"Virginia Beach,VA"
Sutherland,,OTHER,NE,11/15/1983 23:30,"Sutherland,NE"
Lake Okeechoobee,,OVAL,FL,11/28/1983 23:00,"Lake Okeechoobee,FL"
Madison,,,WI,12/1/1983 2:00,"Madison,WI"
Indian Springs,,,NV,12/3/1983 2:00,"Indian Springs,NV"
Kent,,,WA,12/5/1983 5:00,"Kent,WA"
Garner,,TRIANGLE,NC,12/15/1983 1:15,"Garner,NC"
Charlottesville,,DISK,VA,12/31/1983 20:00,"Charlottesville,VA"
Fayetteville,,FIREBALL,NC,1/3/1984 13:00,"Fayetteville,NC"
St. George,,FORMATION,UT,1/8/1984 22:00,"St. George,UT"
Idaho,,VARIOUS,ID,1/13/1984 2:12,"Idaho,ID"
Valier,,LIGHT,MT,1/21/1984 21:00,"Valier,MT"
Bozeman,,CIGAR,MT,1/23/1984 6:45,"Bozeman,MT"
Kirkland,,CIRCLE,IL,1/24/1984 0:00,"Kirkland,IL"
Rolla,YELLOW,LIGHT,MO,1/26/1984 19:30,"Rolla,MO"
Columbia,,,SC,2/1/1984 21:00,"Columbia,SC"
Marlow,,FIREBALL,NH,2/10/1984 22:00,"Marlow,NH"
Eugene,,TRIANGLE,OR,3/1/1984 22:00,"Eugene,OR"
Cowansville,,TRIANGLE,PA,3/14/1984 16:00,"Cowansville,PA"
Griffin,RED YELLOW,CIRCLE,GA,3/15/1984 20:00,"Griffin,GA"
Greenville,,TRIANGLE,VA,3/15/1984 21:30,"Greenville,VA"
Alton,,OTHER,ME,3/18/1984 2:30,"Alton,ME"
Newburgh,,CIRCLE,NY,3/24/1984 8:00,"Newburgh,NY"
Mettacahonts,,FORMATION,NY,3/27/1984 20:00,"Mettacahonts,NY"
Rosendale,,CIRCLE,NY,3/27/1984 23:00,"Rosendale,NY"
Griffin,,CIRCLE,GA,3/30/1984 13:00,"Griffin,GA"
Arlington,,TRIANGLE,TX,4/5/1984 21:30,"Arlington,TX"
Monahans,,,TX,4/11/1984 2:00,"Monahans,TX"
Southwest City,,LIGHT,MO,4/11/1984 21:30,"Southwest City,MO"
Branford,,EGG,CT,4/15/1984 0:00,"Branford,CT"
Lake Worth,,DISK,FL,4/15/1984 2:00,"Lake Worth,FL"
Elizabethtown,,DISK,KY,4/15/1984 15:00,"Elizabethtown,KY"
Yelvington,,TRIANGLE,KY,4/15/1984 21:00,"Yelvington,KY"
Magnolia,,DISK,TX,4/21/1984 22:00,"Magnolia,TX"
Auburn,,TRIANGLE,NY,4/23/1984 5:30,"Auburn,NY"
Joliet,,CIRCLE,IL,5/1/1984 18:00,"Joliet,IL"
Glen Rose,,TRIANGLE,AR,5/1/1984 19:00,"Glen Rose,AR"
Burnsville,RED,RECTANGLE,MN,5/1/1984 20:00,"Burnsville,MN"
Proctorville,BLUE,DISK,OH,5/5/1984 12:00,"Proctorville,OH"
Cloquet,,OTHER,MN,5/5/1984 22:00,"Cloquet,MN"
Los Angeles,,DISK,CA,5/14/1984 15:00,"Los Angeles,CA"
Cleveland,,OTHER,GA,5/15/1984 16:00,"Cleveland,GA"
Flower Mound,,DISK,TX,5/15/1984 18:45,"Flower Mound,TX"
Winchester,,CIRCLE,VA,5/15/1984 23:00,"Winchester,VA"
Barstow,,CIRCLE,CA,5/20/1984 21:00,"Barstow,CA"
Marlette,,,MI,5/20/1984 22:30,"Marlette,MI"
Longview,,TRIANGLE,TX,5/21/1984 21:30,"Longview,TX"
Huntsville,,SPHERE,AL,6/1/1984 0:00,"Huntsville,AL"
Huntsville,,SPHERE,AL,6/1/1984 0:00,"Huntsville,AL"
Mayfield,,DISK,KY,6/1/1984 0:00,"Mayfield,KY"
Sweetwater,,,TN,6/1/1984 0:00,"Sweetwater,TN"
Tampa,,CYLINDER,FL,6/1/1984 2:20,"Tampa,FL"
Colfax,,OVAL,WA,6/1/1984 12:00,"Colfax,WA"
Orlando,,CIRCLE,FL,6/1/1984 12:00,"Orlando,FL"
Bowling Green,,,KY,6/1/1984 13:00,"Bowling Green,KY"
Elmendorf AFB,RED,DIAMOND,AK,6/1/1984 13:00,"Elmendorf AFB,AK"
Wakefield,,EGG,MA,6/1/1984 17:00,"Wakefield,MA"
Mobile,,SPHERE,AL,6/1/1984 17:15,"Mobile,AL"
Sierra Vista,,TRIANGLE,AZ,6/1/1984 18:00,"Sierra Vista,AZ"
Parker City,,FIREBALL,IN,6/1/1984 19:00,"Parker City,IN"
Paramus,,CIGAR,NJ,6/1/1984 20:00,"Paramus,NJ"
Bandon,,RECTANGLE,OR,6/1/1984 21:00,"Bandon,OR"
Ka'anapali,,LIGHT,HI,6/1/1984 21:00,"Ka'anapali,HI"
Perry,,OTHER,OH,6/1/1984 21:00,"Perry,OH"
Ferriday,,OTHER,LA,6/1/1984 22:00,"Ferriday,LA"
Tolland,,TRIANGLE,CT,6/1/1984 22:00,"Tolland,CT"
Los Angeles,,CIRCLE,CA,6/1/1984 23:00,"Los Angeles,CA"
Ravenna,,CIRCLE,MI,6/1/1984 23:30,"Ravenna,MI"
Clayton,,DISK,OH,6/10/1984 22:00,"Clayton,OH"
Spalding,,LIGHT,NE,6/15/1984 0:30,"Spalding,NE"
Burgettstown,,FIREBALL,PA,6/15/1984 1:00,"Burgettstown,PA"
Ashville,,DISK,OH,6/15/1984 2:50,"Ashville,OH"
Jacksonport,,DISK,WI,6/15/1984 3:00,"Jacksonport,WI"
Methow,,OVAL,WA,6/15/1984 3:00,"Methow,WA"
Griffin,,,GA,6/15/1984 14:00,"Griffin,GA"
Draper,,CONE,VA,6/15/1984 16:45,"Draper,VA"
Asheville,,CIRCLE,NC,6/15/1984 18:00,"Asheville,NC"
Ely,,DIAMOND,MN,6/15/1984 19:00,"Ely,MN"
Mansfield,RED,FORMATION,OH,6/15/1984 20:00,"Mansfield,OH"
Wheeling,,,WY,6/15/1984 20:30,"Wheeling,WY"
Greenburg,,,NY,6/15/1984 21:30,"Greenburg,NY"
Grain Valley,,SPHERE,MO,6/15/1984 22:00,"Grain Valley,MO"
Indjifa,,DISK,PA,6/15/1984 22:30,"Indjifa,PA"
Lorain,,CIRCLE,OH,6/17/1984 10:00,"Lorain,OH"
Wilkes-Barre,,OTHER,PA,6/19/1984 11:00,"Wilkes-Barre,PA"
Sacramento,,CIRCLE,CA,6/20/1984 12:00,"Sacramento,CA"
Holmwood,,OVAL,LA,6/20/1984 20:20,"Holmwood,LA"
Columbia,,OVAL,SC,6/24/1984 19:00,"Columbia,SC"
Tallahassee,,,FL,6/24/1984 21:00,"Tallahassee,FL"
El Paso,,CIRCLE,TX,6/30/1984 0:30,"El Paso,TX"
Adelanto,,SPHERE,CA,6/30/1984 6:40,"Adelanto,CA"
Malvern,,,AR,6/30/1984 8:30,"Malvern,AR"
Atlanta,,,GA,6/30/1984 12:00,"Atlanta,GA"
Denton,,LIGHT,TX,6/30/1984 21:00,"Denton,TX"
Oakhill,,CIRCLE,TX,6/30/1984 21:30,"Oakhill,TX"
Milford,,SPHERE,CT,6/30/1984 22:00,"Milford,CT"
New York City,,TRIANGLE,NY,7/1/1984 21:30,"New York City,NY"
Peekskill,,TRIANGLE,NY,7/1/1984 22:00,"Peekskill,NY"
DeWitt,BLUE,FIREBALL,AR,7/4/1984 4:00,"DeWitt,AR"
Eatonton,,TRIANGLE,GA,7/7/1984 22:00,"Eatonton,GA"
Irvington,,CYLINDER,KY,7/8/1984 23:00,"Irvington,KY"
Martin,,OVAL,SD,7/8/1984 23:00,"Martin,SD"
Blairstown,BLUE,LIGHT,MO,7/10/1984 3:30,"Blairstown,MO"
Lake Skinner,BLUE,LIGHT,CA,7/10/1984 4:00,"Lake Skinner,CA"
New Pine Creek,,LIGHT,CA,7/10/1984 22:30,"New Pine Creek,CA"
Portsmouth,,CIRCLE,VA,7/14/1984 22:00,"Portsmouth,VA"
Deming area,,CYLINDER,NM,7/15/1984 2:00,"Deming area,NM"
Brighton,,OTHER,MI,7/15/1984 23:00,"Brighton,MI"
Knightstown,,TRIANGLE,IN,7/18/1984 1:30,"Knightstown,IN"
Millwood,,TRIANGLE,NY,7/19/1984 18:00,"Millwood,NY"
Ossining,,OTHER,NY,7/19/1984 18:00,"Ossining,NY"
Iowa City,,CIRCLE,IA,7/20/1984 22:00,"Iowa City,IA"
Brewster,RED,OVAL,NY,7/24/1984 22:00,"Brewster,NY"
Perkiomenville,GREEN,DISK,PA,7/24/1984 22:00,"Perkiomenville,PA"
Terre Haute,,OTHER,IN,7/25/1984 4:00,"Terre Haute,IN"
Watchung Mountains,,,NJ,7/25/1984 12:00,"Watchung Mountains,NJ"
Suffolk,ORANGE,SPHERE,VA,7/25/1984 20:00,"Suffolk,VA"
Rosebud,,OTHER,MO,7/31/1984 19:00,"Rosebud,MO"
Middlebury,,OTHER,CT,7/31/1984 22:00,"Middlebury,CT"
Middlebury,,OTHER,CT,7/31/1984 22:00,"Middlebury,CT"
Sandpoint,,DISK,ID,8/1/1984 4:00,"Sandpoint,ID"
Manotowish Waters,RED,LIGHT,WI,8/1/1984 23:00,"Manotowish Waters,WI"
Caribou,,EGG,ME,8/7/1984 21:00,"Caribou,ME"
Gaylord,,OTHER,MI,8/8/1984 23:00,"Gaylord,MI"
Bellingham,,,WA,8/10/1984 4:30,"Bellingham,WA"
Boalsburg,,LIGHT,PA,8/10/1984 23:00,"Boalsburg,PA"
Columbus,,RECTANGLE,OH,8/12/1984 21:00,"Columbus,OH"
Eureka,,CIRCLE,MT,8/14/1984 0:00,"Eureka,MT"
Wabeno,,OTHER,WI,8/15/1984 0:00,"Wabeno,WI"
Beckley,,,WV,8/15/1984 1:00,"Beckley,WV"
Cape Canaveral,,LIGHT,FL,8/15/1984 1:30,"Cape Canaveral,FL"
Haddon Heights,,TRIANGLE,NJ,8/15/1984 19:30,"Haddon Heights,NJ"
Croton-on-Hudson,,SPHERE,NY,8/15/1984 21:00,"Croton-on-Hudson,NY"
South Glens Falls,,CIGAR,NY,8/15/1984 21:00,"South Glens Falls,NY"
Stamford,,DISK,CT,8/15/1984 21:00,"Stamford,CT"
Brewster,,CHEVRON,NY,8/15/1984 23:00,"Brewster,NY"
Countryside,GREEN BLUE,TRIANGLE,IL,8/18/1984 8:30,"Countryside,IL"
Cedarburg,,RECTANGLE,WI,8/21/1984 21:30,"Cedarburg,WI"
Altha,,CYLINDER,FL,8/26/1984 16:00,"Altha,FL"
Baltimore,,TRIANGLE,MD,9/1/1984 19:00,"Baltimore,MD"
Pacific Beach,,OVAL,CA,9/1/1984 19:00,"Pacific Beach,CA"
Medanales,RED,LIGHT,NM,9/1/1984 21:00,"Medanales,NM"
River Rouge,,SPHERE,MI,9/1/1984 22:00,"River Rouge,MI"
Manor,,,TX,9/1/1984 23:00,"Manor,TX"
Osage,,SPHERE,IA,9/2/1984 8:20,"Osage,IA"
Plumas Eureka State Park Camp Grounds,,TRIANGLE,CA,9/3/1984 23:00,"Plumas Eureka State Park Camp Grounds,CA"
Alamo Lake,,,AZ,9/4/1984 22:00,"Alamo Lake,AZ"
California,,CIGAR,CA,9/9/1984 22:00,"California,CA"
Schuylkill Haven,,TRIANGLE,PA,9/15/1984 20:00,"Schuylkill Haven,PA"
Sterling,,LIGHT,AK,9/15/1984 23:00,"Sterling,AK"
Elwood,,CHEVRON,NY,9/16/1984 15:00,"Elwood,NY"
New York City,,TEARDROP,NY,9/20/1984 21:00,"New York City,NY"
Waldport,,LIGHT,OR,10/1/1984 1:00,"Waldport,OR"
Chatsworth,,LIGHT,CA,10/1/1984 20:00,"Chatsworth,CA"
Acton,RED,TRIANGLE,ME,10/1/1984 21:00,"Acton,ME"
Augusta,,FIREBALL,GA,10/3/1984 21:00,"Augusta,GA"
Houston,,CIRCLE,TX,10/10/1984 5:00,"Houston,TX"
Traverse City,,OTHER,MI,10/10/1984 12:00,"Traverse City,MI"
White Plains,,FORMATION,NY,10/10/1984 22:00,"White Plains,NY"
Duchenne,,DISK,UT,10/15/1984 1:00,"Duchenne,UT"
Newbury,,CIGAR,OH,10/15/1984 2:30,"Newbury,OH"
New Castle,,OTHER,DE,10/15/1984 8:15,"New Castle,DE"
Quincy,,,CA,10/15/1984 9:00,"Quincy,CA"
Skowhegan,,DISK,ME,10/15/1984 19:00,"Skowhegan,ME"
Albuquerque,,DISK,NM,10/15/1984 19:30,"Albuquerque,NM"
Strafford,,CIRCLE,MO,10/15/1984 21:00,"Strafford,MO"
Uvalde,,CIRCLE,TX,10/15/1984 22:30,"Uvalde,TX"
New Boston,,EGG,TX,10/15/1984 23:00,"New Boston,TX"
Allendale,,LIGHT,MI,10/18/1984 22:00,"Allendale,MI"
Middle Town,,DIAMOND,CA,10/20/1984 3:00,"Middle Town,CA"
Columbus,,LIGHT,OH,10/20/1984 5:00,"Columbus,OH"
Honey Grove,,DISK,TX,11/1/1984 17:30,"Honey Grove,TX"
Carrollton,,OTHER,GA,11/7/1984 2:30,"Carrollton,GA"
Brandon,,CYLINDER,MS,11/9/1984 4:00,"Brandon,MS"
Edgartown,,TRIANGLE,MA,11/11/1984 23:00,"Edgartown,MA"
Alvarado,,FIREBALL,TX,11/14/1984 20:00,"Alvarado,TX"
Jasper,,,FL,11/15/1984 18:00,"Jasper,FL"
North Platte,,OTHER,NE,11/15/1984 18:00,"North Platte,NE"
Ruggles Beach,,CHEVRON,OH,11/20/1984 5:00,"Ruggles Beach,OH"
Columbus,,CIGAR,WI,11/24/1984 13:00,"Columbus,WI"
Williamstown,,TRIANGLE,MA,11/24/1984 19:30,"Williamstown,MA"
St. Charles,RED,VARIOUS,IL,11/26/1984 22:00,"St. Charles,IL"
Montgomery,,FIREBALL,AL,12/1/1984 18:00,"Montgomery,AL"
Emporium,,CIRCLE,PA,12/4/1984 20:00,"Emporium,PA"
Tocca,,TRIANGLE,GA,12/24/1984 23:15,"Tocca,GA"
Holly,,OTHER,MI,1/1/1985 1:00,"Holly,MI"
Largo,RED,OTHER,FL,1/1/1985 21:00,"Largo,FL"
Virginia Beach,RED,,VA,1/1/1985 22:00,"Virginia Beach,VA"
Caribbean Sea,,OTHER,FL,1/1/1985 23:00,"Caribbean Sea,FL"
Wampum,,CIRCLE,PA,1/15/1985 3:00,"Wampum,PA"
McGrady,,VARIOUS,NC,1/15/1985 20:50,"McGrady,NC"
Sunbury,,,PA,1/15/1985 22:00,"Sunbury,PA"
South Gate,,CYLINDER,CA,1/15/1985 22:30,"South Gate,CA"
Hermiston,BLUE,OTHER,OR,1/27/1985 1:30,"Hermiston,OR"
Portland,,LIGHT,OR,2/1/1985 22:30,"Portland,OR"
Hinesville,,SPHERE,GA,2/15/1985 0:00,"Hinesville,GA"
Malden,ORANGE,FIREBALL,MO,2/15/1985 0:00,"Malden,MO"
Portland,,LIGHT,OR,2/28/1985 23:00,"Portland,OR"
Wichita,ORANGE,TRIANGLE,KS,3/1/1985 20:30,"Wichita,KS"
Woodbridge,,,VA,3/2/1985 20:15,"Woodbridge,VA"
Bellefontaine,,CHEVRON,MO,3/14/1985 19:13,"Bellefontaine,MO"
Unadilla,,CIGAR,NE,3/15/1985 14:30,"Unadilla,NE"
Nashville,,OVAL,TN,3/26/1985 1:25,"Nashville,TN"
New York City,,VARIOUS,NY,4/1/1985 15:00,"New York City,NY"
Weston,,OTHER,CT,4/1/1985 20:00,"Weston,CT"
Stone Ridge,,OTHER,NY,4/4/1985 20:00,"Stone Ridge,NY"
Chicago,,DISK,IL,4/4/1985 23:00,"Chicago,IL"
Nova,,TRIANGLE,OH,4/15/1985 21:30,"Nova,OH"
Granville Summit,,DISK,PA,4/15/1985 22:00,"Granville Summit,PA"
Austin,,OVAL,TX,4/19/1985 21:00,"Austin,TX"
Sanford,,SPHERE,NC,4/20/1985 10:00,"Sanford,NC"
San Francisco,,CYLINDER,CA,4/27/1985 18:30,"San Francisco,CA"
Dequincy,,,LA,4/30/1985 11:00,"Dequincy,LA"
Harrisburg,,LIGHT,NC,5/1/1985 13:00,"Harrisburg,NC"
Milwaukee,,LIGHT,WI,5/1/1985 13:00,"Milwaukee,WI"
Santa Cruz,,OTHER,CA,5/1/1985 14:00,"Santa Cruz,CA"
North Miami,,CIRCLE,FL,5/1/1985 17:00,"North Miami,FL"
Grand Island,,SPHERE,NE,5/1/1985 19:00,"Grand Island,NE"
Lanett,,LIGHT,AL,5/1/1985 20:30,"Lanett,AL"
Wiseman's View,,CIRCLE,NC,5/1/1985 21:00,"Wiseman's View,NC"
Orlando,,TRIANGLE,FL,5/8/1985 21:30,"Orlando,FL"
Magna,,SPHERE,UT,5/10/1985 6:00,"Magna,UT"
Altoona,,DISK,PA,5/12/1985 20:00,"Altoona,PA"
Beaver Damm,,CIGAR,WI,5/15/1985 17:00,"Beaver Damm,WI"
Clarksburg,,CIRCLE,WV,5/15/1985 20:00,"Clarksburg,WV"
Tempe,,SPHERE,AZ,5/15/1985 22:00,"Tempe,AZ"
Little Rock,,CIRCLE,AR,5/23/1985 9:00,"Little Rock,AR"
Middletown,GREEN,RECTANGLE,NY,5/30/1985 0:00,"Middletown,NY"
California,,CIGAR,CA,6/1/1985 0:00,"California,CA"
Pensacola,,FORMATION,FL,6/1/1985 0:00,"Pensacola,FL"
Winslow,,TRIANGLE,AR,6/1/1985 12:00,"Winslow,AR"
Prineville,,OTHER,OR,6/1/1985 13:00,"Prineville,OR"
St. Petersburg,,TEARDROP,FL,6/1/1985 14:30,"St. Petersburg,FL"
Tampa,,DISK,FL,6/1/1985 17:00,"Tampa,FL"
Forestville,,DISK,CA,6/1/1985 17:30,"Forestville,CA"
Trenton,GREEN,OVAL,TX,6/1/1985 17:30,"Trenton,TX"
Bemidji,,TRIANGLE,MN,6/1/1985 18:00,"Bemidji,MN"
Phoenix,,,AZ,6/1/1985 20:00,"Phoenix,AZ"
Reno,,OTHER,NV,6/1/1985 21:00,"Reno,NV"
Lola,,SPHERE,KS,6/1/1985 22:00,"Lola,KS"
North Tonawanda,,CHEVRON,NY,6/1/1985 22:00,"North Tonawanda,NY"
Snohomish,,TRIANGLE,WA,6/1/1985 22:00,"Snohomish,WA"
Wilkesboro,,FIREBALL,NC,6/1/1985 22:00,"Wilkesboro,NC"
Stratford,,SPHERE,NJ,6/1/1985 22:40,"Stratford,NJ"
Casselberry,,OTHER,FL,6/1/1985 23:00,"Casselberry,FL"
Sebastopol,,,CA,6/1/1985 23:00,"Sebastopol,CA"
Old Faithful,,,WY,6/2/1985 23:30,"Old Faithful,WY"
Ft. Huachuca,,TRIANGLE,AZ,6/6/1985 20:00,"Ft. Huachuca,AZ"
Tulsa,,DISK,OK,6/7/1985 16:30,"Tulsa,OK"
Gainesville,,CIGAR,FL,6/10/1985 22:10,"Gainesville,FL"
Houston,,TRIANGLE,TX,6/11/1985 22:30,"Houston,TX"
Coronado,,,CA,6/12/1985 11:00,"Coronado,CA"
Wallingford,,RECTANGLE,CT,6/14/1985 20:00,"Wallingford,CT"
Grayridge,,VARIOUS,MO,6/15/1985 0:00,"Grayridge,MO"
Seward,,DISK,AK,6/15/1985 2:00,"Seward,AK"
Route 7,,RECTANGLE,NY,6/15/1985 2:30,"Route 7,NY"
El Paso,,DISK,TX,6/15/1985 12:00,"El Paso,TX"
Stokes,,DISK,NC,6/15/1985 14:00,"Stokes,NC"
Kalamazoo,,,MI,6/15/1985 17:00,"Kalamazoo,MI"
Fairfax,,,VA,6/15/1985 18:00,"Fairfax,VA"
Panther,,OVAL,WV,6/15/1985 18:00,"Panther,WV"
Mohave Desert,BLUE,OVAL,CA,6/15/1985 19:00,"Mohave Desert,CA"
Rolla,,CIRCLE,MO,6/15/1985 20:00,"Rolla,MO"
Waverly Hall,,DISK,GA,6/15/1985 20:00,"Waverly Hall,GA"
Ladson,GREEN,CIRCLE,SC,6/15/1985 21:00,"Ladson,SC"
New York City,,OVAL,NY,6/15/1985 23:00,"New York City,NY"
Wichita,GREEN,CIRCLE,KS,6/15/1985 23:00,"Wichita,KS"
"Joshua Tree National Park, Twenty Nine Palms",,FORMATION,CA,6/17/1985 2:00,"Joshua Tree National Park, Twenty Nine Palms,CA"
Cottage Grove,,SPHERE,OR,6/18/1985 13:00,"Cottage Grove,OR"
Barboursville,,CYLINDER,WV,6/19/1985 20:30,"Barboursville,WV"
Salem,,SPHERE,NH,6/20/1985 14:00,"Salem,NH"
Kankakee,,CYLINDER,IL,6/20/1985 21:00,"Kankakee,IL"
Lorain,BLUE,CIRCLE,OH,6/20/1985 22:30,"Lorain,OH"
Daisytown,,CIRCLE,PA,6/23/1985 22:00,"Daisytown,PA"
Hallandale Beach,,DISK,FL,6/30/1985 2:00,"Hallandale Beach,FL"
